user_id,transaction_amount,timestamp,account_balance,previous_fraudulent_activity,daily_transaction_count,avg_transaction_amount_7d,failed_transaction_count_7d,card_type,card_age,risk_score,is_weekend,fraud_label
USER_1834,39.79,2023-08-14 19:30:00,93213.17,0,7,437.63,3,Amex,65,0.8494,0,0
USER_7875,1.19,2023-06-07 04:01:00,75725.25,0,13,478.76,4,Mastercard,186,0.0959,0,1
USER_2734,28.96,2023-06-20 15:25:00,1588.96,0,14,50.01,4,Visa,226,0.84,0,1
USER_2617,254.32,2023-12-07 00:31:00,76807.2,0,8,182.48,4,Visa,76,0.7935,0,1
USER_2014,31.28,2023-11-11 23:44:00,92354.66,1,14,328.69,4,Mastercard,140,0.3819,1,1
USER_6852,168.55,2023-06-05 20:55:00,33236.94,0,3,226.85,2,Discover,51,0.0504,0,0
USER_5052,3.79,2023-11-07 01:18:00,86834.18,0,2,298.35,2,Mastercard,168,0.0875,0,0
USER_4660,7.08,2023-02-25 03:43:00,45826.27,0,3,164.38,4,Discover,182,0.5326,0,1
USER_1584,34.25,2023-03-09 22:51:00,94392.35,0,7,90.02,3,Visa,24,0.1347,1,0
USER_9498,16.24,2023-09-20 17:27:00,91859.97,0,6,474.42,1,Mastercard,124,0.3394,0,0
USER_2848,367.5,2023-04-11 07:11:00,14640.09,0,4,397.58,0,Amex,136,0.643,0,0
USER_6860,50.44,2023-08-06 08:22:00,19962.22,0,14,278.55,1,Discover,131,0.4582,0,0
USER_6728,55.5,2023-07-20 03:10:00,89664.63,0,6,483.58,4,Discover,192,0.5837,0,1
USER_6655,54.09,2023-11-17 20:13:00,51287.15,0,11,152.63,2,Amex,91,0.1454,0,0
USER_7651,9.66,2023-06-20 17:15:00,12420.17,0,6,173.97,0,Mastercard,5,0.0793,1,0
USER_1248,64.78,2023-07-03 09:20:00,23487.76,0,1,17.85,2,Amex,3,0.2245,0,0
USER_9349,37.11,2023-12-21 08:48:00,92977.91,0,12,457.42,3,Visa,135,0.1136,1,0
USER_9413,1.58,2023-04-08 09:13:00,63076.36,0,13,309.49,1,Amex,47,0.3433,0,0
USER_5861,178.56,2023-08-16 10:01:00,62359.52,0,4,491.21,4,Visa,29,0.444,1,1
USER_5939,19.37,2023-04-29 04:34:00,34416.01,0,9,163.5,3,Discover,129,0.2924,0,0
USER_5566,22.02,2023-12-28 04:45:00,55851.38,0,13,179.73,3,Visa,204,0.1305,1,0
USER_4615,203.97,2023-06-18 23:36:00,73616.91,0,4,482.2,4,Mastercard,173,0.8633,1,1
USER_3832,55.35,2023-05-11 16:15:00,88292.27,0,12,283.43,0,Visa,80,0.7883,1,0
USER_9751,17.17,2023-11-25 07:35:00,71983.33,0,2,36.46,2,Mastercard,165,0.0233,0,0
USER_9775,72.33,2023-08-14 21:55:00,29954.64,0,3,233.6,4,Discover,120,0.408,1,1
USER_6725,188.75,2023-07-16 07:49:00,58078.66,1,4,495.1,0,Amex,85,0.1379,0,0
USER_3085,2.61,2023-01-11 00:41:00,51803.62,0,1,382.67,2,Visa,86,0.5355,0,0
USER_7987,195.76,2023-11-28 19:13:00,85000.68,1,14,226.9,1,Mastercard,65,0.2553,1,0
USER_1116,8.06,2023-07-09 22:27:00,38155.13,0,9,298.73,4,Mastercard,232,0.4784,0,1
USER_8088,73.34,2023-04-20 13:18:00,72060.59,0,9,434.91,2,Visa,92,0.4097,0,0
USER_4147,9.82,2023-11-08 14:12:00,39996.92,0,13,42.42,2,Discover,152,0.9658,0,1
USER_7419,197.21,2023-04-29 17:19:00,32472.3,0,14,268.08,0,Visa,225,0.8843,0,1
USER_7666,56.45,2023-08-22 00:16:00,1525.05,0,8,277.53,3,Amex,103,0.6745,0,0
USER_5135,0.32,2023-11-18 02:35:00,39236.78,0,11,66.4,1,Amex,38,0.5475,1,0
USER_8041,63.83,2023-04-24 20:18:00,75526.24,0,14,69.19,1,Visa,45,0.6558,0,0
USER_2155,147.71,2023-04-11 16:20:00,40660.04,0,5,191.11,2,Mastercard,20,0.1327,0,0
USER_5843,127.57,2023-04-12 10:16:00,43073.71,0,7,139.86,0,Visa,228,0.7918,1,0
USER_2756,15.24,2023-12-07 08:06:00,61396.94,0,9,198.16,2,Amex,195,0.5575,0,0
USER_4265,80.4,2023-01-18 06:08:00,60394.4,0,10,292.42,4,Mastercard,95,0.8746,0,1
USER_7471,3.13,2023-04-27 06:32:00,34717.05,0,8,266.86,2,Amex,87,0.4547,0,0
USER_8456,9.53,2023-08-18 15:21:00,60125.25,0,10,389.23,0,Amex,206,0.3199,1,0
USER_5964,24.73,2023-07-22 00:15:00,26301.84,1,2,181.3,2,Amex,162,0.8063,1,0
USER_8631,138.21,2023-12-24 09:13:00,38278.34,0,2,424.38,1,Mastercard,158,0.703,0,0
USER_3125,39.63,2023-04-25 12:12:00,8549.08,0,13,329.74,4,Visa,17,0.5676,0,1
USER_8150,11.77,2023-11-10 20:46:00,42891.23,1,5,434.42,4,Discover,106,0.7972,1,1
